date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:23:32	186290/186290	---MCZ	200	added ('OK')	text/html	date:Sun,%2025%20Jun%202023%2008:53:29%20GMT	https://flatsome3.uxthemes.com/demos/shop-demos/simple-slider/	C:/Users/91735/Downloads/cloth_websiteProject/flatsome3.uxthemes.com/demos/shop-demos/simple-slider/index.html	(from )
14:23:32	69/69	---MCZ	200	added ('OK')	text/plain	date:Sun,%2025%20Jun%202023%2006:25:01%20GMT	https://flatsome3.uxthemes.com/robots.txt		(from )
14:23:33	52822/52822	---MCZ	200	added ('OK')	application/javascript	etag:W/%226481b76b-ce56%22	https://flatsome3.uxthemes.com/wp-content/themes/flatsome/assets/js/flatsome.js?ver=f2c57559524d9813afd4	C:/Users/91735/Downloads/cloth_websiteProject/flatsome3.uxthemes.com/wp-content/themes/flatsome/assets/js/flatsome7013.js	(from https://flatsome3.uxthemes.com/demos/shop-demos/simple-slider/)
14:23:33	49913/49913	---MCZ	200	added ('OK')	application/javascript	etag:W/%226481b76b-c2f9%22	https://flatsome3.uxthemes.com/wp-content/themes/flatsome/assets/js/chunk.slider.js?ver=3.17.1	C:/Users/91735/Downloads/cloth_websiteProject/flatsome3.uxthemes.com/wp-content/themes/flatsome/assets/js/chunk.slider5d63.js	(from https://flatsome3.uxthemes.com/demos/shop-demos/simple-slider/)
14:23:34	20041/20041	---MCZ	200	added ('OK')	application/javascript	etag:W/%226481b76b-4e49%22	https://flatsome3.uxthemes.com/wp-content/themes/flatsome/assets/js/chunk.popups.js?ver=3.17.1	C:/Users/91735/Downloads/cloth_websiteProject/flatsome3.uxthemes.com/wp-content/themes/flatsome/assets/js/chunk.popups5d63.js	(from https://flatsome3.uxthemes.com/demos/shop-demos/simple-slider/)
14:23:34	39860/39860	---MCZ	200	added ('OK')	application/javascript	etag:W/%226481b76b-9bb4%22	https://flatsome3.uxthemes.com/wp-content/themes/flatsome/assets/js/chunk.tooltips.js?ver=3.17.1	C:/Users/91735/Downloads/cloth_websiteProject/flatsome3.uxthemes.com/wp-content/themes/flatsome/assets/js/chunk.tooltips5d63.js	(from https://flatsome3.uxthemes.com/demos/shop-demos/simple-slider/)
14:23:34	20540/20540	---MCZ	200	added ('OK')	application/javascript	etag:W/%226481b76b-503c%22	https://flatsome3.uxthemes.com/wp-content/themes/flatsome/assets/js/woocommerce.js?ver=1a392523165907adee6a	C:/Users/91735/Downloads/cloth_websiteProject/flatsome3.uxthemes.com/wp-content/themes/flatsome/assets/js/woocommerce201f.js	(from https://flatsome3.uxthemes.com/demos/shop-demos/simple-slider/)
14:23:35	291/291	---MCZ	200	added ('OK')	text/css	etag:W/%2263eaa28b-123%22	https://flatsome3.uxthemes.com/wp-includes/css/classic-themes.min.css	C:/Users/91735/Downloads/cloth_websiteProject/flatsome3.uxthemes.com/wp-includes/css/classic-themes.min.css	(from https://flatsome3.uxthemes.com/demos/shop-demos/simple-slider/)
14:23:35	2154/2154	---MCZ	200	added ('OK')	text/css	etag:W/%226487414e-86a%22	https://flatsome3.uxthemes.com/wp-content/cache/min/1/wp-content/plugins/contact-form-7/includes/css/styles-d89422df18d813e0db7d653b15adfcb2.css	C:/Users/91735/Downloads/cloth_websiteProject/flatsome3.uxthemes.com/wp-content/cache/min/1/wp-content/plugins/contact-form-7/includes/css/styles-d89422df18d813e0db7d653b15adfcb2.css	(from https://flatsome3.uxthemes.com/demos/shop-demos/simple-slider/)
14:23:35	2692/2692	---MCZ	200	added ('OK')	text/css	etag:W/%226487414e-a84%22	https://flatsome3.uxthemes.com/wp-content/cache/min/1/wp-content/plugins/yith-woocommerce-wishlist/assets/css/jquery.selectBox-e9201a6b9b3e63f6e439a1405379e5b3.css	C:/Users/91735/Downloads/cloth_websiteProject/flatsome3.uxthemes.com/wp-content/cache/min/1/wp-content/plugins/yith-woocommerce-wishlist/assets/css/jquery.selectBox-e9201a6b9b3e63f6e439a1405379e5b3.css	(from https://flatsome3.uxthemes.com/demos/shop-demos/simple-slider/)
14:23:35	782/782	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%22b58adcc55cdc6b4d94bd985f756bc1d8-gzip%22	https://flatsome3.uxthemes.com/demos/shop-demos/simple-slider/feed/	C:/Users/91735/Downloads/cloth_websiteProject/flatsome3.uxthemes.com/demos/shop-demos/simple-slider/feed/index.html	(from https://flatsome3.uxthemes.com/demos/shop-demos/simple-slider/)
14:23:35	3285/3285	---MCZ	200	added ('OK')	text/css	etag:W/%226487414e-cd5%22	https://flatsome3.uxthemes.com/wp-content/cache/min/1/wp-content/themes/flatsome/inc/integrations/wc-yith-wishlist/wishlist-63f145f84c3bd1429ad7cd029c03d556.css	C:/Users/91735/Downloads/cloth_websiteProject/flatsome3.uxthemes.com/wp-content/cache/min/1/wp-content/themes/flatsome/inc/integrations/wc-yith-wishlist/wishlist-63f145f84c3bd1429ad7cd029c03d556.css	(from https://flatsome3.uxthemes.com/demos/shop-demos/simple-slider/)
14:23:36	145932/145932	---MCZ	200	added ('OK')	text/css	etag:W/%226487414f-23a0c%22	https://flatsome3.uxthemes.com/wp-content/cache/min/1/wp-content/themes/flatsome/assets/css/flatsome-decc1c539c4ae21021625c907828ff8b.css	C:/Users/91735/Downloads/cloth_websiteProject/flatsome3.uxthemes.com/wp-content/cache/min/1/wp-content/themes/flatsome/assets/css/flatsome-decc1c539c4ae21021625c907828ff8b.css	(from https://flatsome3.uxthemes.com/demos/shop-demos/simple-slider/)
